dataset_name,size,knn,α_plus_β,α,β,known_labels,balanced,acc,prec,rec
Rice31,3560,15,1,0.1,0.9,10.0,true,83.44382022471909,84.18099334675475,83.48583249738269
Rice31,3560,15,1,0.1,0.9,17.5,true,90.26404494382022,90.36887185209639,90.25991263779497
Rice31,3560,15,1,0.1,0.9,25.0,true,92.62921348314606,92.71662248888437,92.60628071386941
Rice31,3560,15,1,0.1,0.9,32.5,true,93.84269662921348,93.89545743808355,93.83092146808093
Rice31,3560,15,1,0.1,0.9,40.0,true,95.08426966292134,95.11520753783813,95.07509508843081
