dataset_name,size,knn,α_plus_β,α,β,known_labels,balanced,acc,prec,rec
Caltech36,590,15,1,0.1,0.9,10.0,true,77.2542372881356,76.9140852857854,75.84548739972274
Caltech36,590,15,1,0.1,0.9,17.5,true,82.61016949152543,82.3796582825958,80.95924272908357
Caltech36,590,15,1,0.1,0.9,25.0,true,85.76271186440678,85.39538437592577,83.91869849928186
Caltech36,590,15,1,0.1,0.9,32.5,true,89.08474576271188,88.98202357303767,87.5822804199952
Caltech36,590,15,1,0.1,0.9,40.0,true,88.9491525423729,88.94451595353117,88.03973404032175
